ID (Epoch timestamp), month, day, hour, minute, accumulated minutes, temperature, rainfall, relative humidity
1702772220,12,17,8,17,497,497,13.65,0.88,87.08
1702772280,12,17,8,18,498,498,13.65,0.88,87.08
1702772340,12,17,8,19,499,499,13.65,0.88,87.08
1702772400,12,17,8,20,500,500,13.65,0.88,87.08
1702772460,12,17,8,21,501,501,13.65,0.88,87.08
1702772520,12,17,8,22,502,502,13.65,0.88,87.08
1702772580,12,17,8,23,503,503,13.65,0.88,87.08
1702772640,12,17,8,24,504,504,13.65,0.88,87.08
1702772700,12,17,8,25,505,505,13.65,0.88,87.08
1702772760,12,17,8,26,506,506,13.65,0.88,87.08
1702772820,12,17,8,27,507,507,13.65,0.88,87.08
1702772880,12,17,8,28,508,508,13.65,0.88,87.08
1702772940,12,17,8,29,509,509,13.65,0.88,87.08
1702773000,12,17,8,30,510,510,13.65,0.88,87.08
1702773060,12,17,8,31,511,511,13.65,0.88,87.08
1702773120,12,17,8,32,512,512,13.65,0.88,87.08
1702773180,12,17,8,33,513,513,13.65,0.88,87.08
1702773240,12,17,8,34,514,514,13.65,0.88,87.08
1702773300,12,17,8,35,515,515,13.65,0.88,87.08
1702773360,12,17,8,36,516,516,13.65,0.88,87.08
1702773420,12,17,8,37,517,517,13.65,0.88,87.08
1702773480,12,17,8,38,518,518,13.65,0.88,87.08
1702773540,12,17,8,39,519,519,13.65,0.88,87.08
1702773600,12,17,8,40,520,520,13.65,0.88,87.08
1702773660,12,17,8,41,521,521,13.65,0.88,87.08
1702773720,12,17,8,42,522,522,13.65,0.88,87.08
1702773780,12,17,8,43,523,523,13.65,0.88,87.08
1702773840,12,17,8,44,524,524,13.65,0.88,87.08
1702773900,12,17,8,45,525,525,13.71,0.84,87.40
1702773960,12,17,8,46,526,526,13.71,0.84,87.40
1702774020,12,17,8,47,527,527,13.71,0.84,87.40
1702774080,12,17,8,48,528,528,13.71,0.84,87.40
1702774140,12,17,8,49,529,529,13.71,0.84,87.40
1702774200,12,17,8,50,530,530,13.71,0.84,87.40
1702774260,12,17,8,51,531,531,13.71,0.84,87.40
1702774320,12,17,8,52,532,532,13.71,0.84,87.40
1702774380,12,17,8,53,533,533,13.71,0.84,87.40
1702774440,12,17,8,54,534,534,13.71,0.84,87.40
1702774500,12,17,8,55,535,535,13.71,0.84,87.40
1702774560,12,17,8,56,536,536,13.71,0.84,87.40
1702774620,12,17,8,57,537,537,13.71,0.84,87.40
1702774680,12,17,8,58,538,538,13.71,0.84,87.40
1702774740,12,17,8,59,539,539,13.71,0.84,87.40
1702774800,12,17,9,0,540,540,13.71,0.84,87.40
1702774860,12,17,9,1,541,541,13.71,0.84,87.40
1702774920,12,17,9,2,542,542,13.71,0.84,87.40
1702774980,12,17,9,3,543,543,13.71,0.84,87.40
1702775040,12,17,9,4,544,544,13.71,0.84,87.40
1702775100,12,17,9,5,545,545,13.71,0.84,87.40
1702775160,12,17,9,6,546,546,13.71,0.84,87.40
1702775220,12,17,9,7,547,547,13.71,0.84,87.40
1702775280,12,17,9,8,548,548,13.71,0.84,87.40
1702775340,12,17,9,9,549,549,13.71,0.84,87.40
1702775400,12,17,9,10,550,550,13.71,0.84,87.40
1702775460,12,17,9,11,551,551,13.71,0.84,87.40
1702775520,12,17,9,12,552,552,13.71,0.84,87.40
1702775580,12,17,9,13,553,553,13.71,0.84,87.40
1702775640,12,17,9,14,554,554,13.71,0.84,87.40
1702775700,12,17,9,15,555,555,13.76,0.80,87.72
1702775760,12,17,9,16,556,556,13.76,0.80,87.72
1702775820,12,17,9,17,557,557,13.76,0.80,87.72
1702775880,12,17,9,18,558,558,13.76,0.80,87.72
1702775940,12,17,9,19,559,559,13.76,0.80,87.72
1702776000,12,17,9,20,560,560,13.76,0.80,87.72
1702776060,12,17,9,21,561,561,13.76,0.80,87.72
1702776120,12,17,9,22,562,562,13.76,0.80,87.72
1702776180,12,17,9,23,563,563,13.76,0.80,87.72
1702776240,12,17,9,24,564,564,13.76,0.80,87.72
1702776300,12,17,9,25,565,565,13.76,0.80,87.72
1702776360,12,17,9,26,566,566,13.76,0.80,87.72
1702776420,12,17,9,27,567,567,13.76,0.80,87.72
1702776480,12,17,9,28,568,568,13.76,0.80,87.72
1702776540,12,17,9,29,569,569,13.76,0.80,87.72
1702776600,12,17,9,30,570,570,13.76,0.80,87.72
1702776660,12,17,9,31,571,571,13.76,0.80,87.72
1702776720,12,17,9,32,572,572,13.76,0.80,87.72
1702776780,12,17,9,33,573,573,13.76,0.80,87.72
1702776840,12,17,9,34,574,574,13.76,0.80,87.72
1702776900,12,17,9,35,575,575,13.76,0.80,87.72
1702776960,12,17,9,36,576,576,13.76,0.80,87.72
1702777020,12,17,9,37,577,577,13.76,0.80,87.72
1702777080,12,17,9,38,578,578,13.76,0.80,87.72
1702777140,12,17,9,39,579,579,13.76,0.80,87.72
1702777200,12,17,9,40,580,580,13.76,0.80,87.72
1702777260,12,17,9,41,581,581,13.76,0.80,87.72
1702777320,12,17,9,42,582,582,13.76,0.80,87.72
1702777380,12,17,9,43,583,583,13.76,0.80,87.72
1702777440,12,17,9,44,584,584,13.76,0.80,87.72
1702777500,12,17,9,45,585,585,13.81,0.77,88.05
1702777560,12,17,9,46,586,586,13.81,0.77,88.05
1702777620,12,17,9,47,587,587,13.81,0.77,88.05
1702777680,12,17,9,48,588,588,13.81,0.77,88.05
1702777740,12,17,9,49,589,589,13.81,0.77,88.05
1702777800,12,17,9,50,590,590,13.81,0.77,88.05
1702777860,12,17,9,51,591,591,13.81,0.77,88.05
1702777920,12,17,9,52,592,592,13.81,0.77,88.05
1702777980,12,17,9,53,593,593,13.81,0.77,88.05
1702778040,12,17,9,54,594,594,13.81,0.77,88.05
1702778100,12,17,9,55,595,595,13.81,0.77,88.05
1702778160,12,17,9,56,596,596,13.81,0.77,88.05
1702778220,12,17,9,57,597,597,13.81,0.77,88.05
1702778280,12,17,9,58,598,598,13.81,0.77,88.05
1702778340,12,17,9,59,599,599,13.81,0.77,88.05
1702778400,12,17,10,0,600,600,13.81,0.77,88.05
1702778460,12,17,10,1,601,601,13.81,0.77,88.05
1702778520,12,17,10,2,602,602,13.81,0.77,88.05
1702778580,12,17,10,3,603,603,13.81,0.77,88.05
1702778640,12,17,10,4,604,604,13.81,0.77,88.05
1702778700,12,17,10,5,605,605,13.81,0.77,88.05
1702778760,12,17,10,6,606,606,13.81,0.77,88.05
1702778820,12,17,10,7,607,607,13.81,0.77,88.05
1702778880,12,17,10,8,608,608,13.81,0.77,88.05
1702778940,12,17,10,9,609,609,13.81,0.77,88.05
1702779000,12,17,10,10,610,610,13.81,0.77,88.05
1702779060,12,17,10,11,611,611,13.81,0.77,88.05
1702779120,12,17,10,12,612,612,13.81,0.77,88.05
1702779180,12,17,10,13,613,613,13.81,0.77,88.05
1702779240,12,17,10,14,614,614,13.81,0.77,88.05
1702779300,12,17,10,15,615,615,13.86,0.73,88.37
1702779360,12,17,10,16,616,616,13.86,0.73,88.37
1702779420,12,17,10,17,617,617,13.86,0.73,88.37
1702779480,12,17,10,18,618,618,13.86,0.73,88.37
1702779540,12,17,10,19,619,619,13.86,0.73,88.37
1702779600,12,17,10,20,620,620,13.86,0.73,88.37
1702779660,12,17,10,21,621,621,13.86,0.73,88.37
1702779720,12,17,10,22,622,622,13.86,0.73,88.37
1702779780,12,17,10,23,623,623,13.86,0.73,88.37
1702779840,12,17,10,24,624,624,13.86,0.73,88.37
1702779900,12,17,10,25,625,625,13.86,0.73,88.37
1702779960,12,17,10,26,626,626,13.86,0.73,88.37
1702780020,12,17,10,27,627,627,13.86,0.73,88.37
1702780080,12,17,10,28,628,628,13.86,0.73,88.37
1702780140,12,17,10,29,629,629,13.86,0.73,88.37
1702780200,12,17,10,30,630,630,13.86,0.73,88.37
1702780260,12,17,10,31,631,631,13.86,0.73,88.37
1702780320,12,17,10,32,632,632,13.86,0.73,88.37
1702780380,12,17,10,33,633,633,13.86,0.73,88.37
1702780440,12,17,10,34,634,634,13.86,0.73,88.37
1702780500,12,17,10,35,635,635,13.86,0.73,88.37
1702780560,12,17,10,36,636,636,13.86,0.73,88.37
1702780620,12,17,10,37,637,637,13.86,0.73,88.37
1702780680,12,17,10,38,638,638,13.86,0.73,88.37
1702780740,12,17,10,39,639,639,13.86,0.73,88.37
1702780800,12,17,10,40,640,640,13.86,0.73,88.37
1702780860,12,17,10,41,641,641,13.86,0.73,88.37
1702780920,12,17,10,42,642,642,13.86,0.73,88.37
1702780980,12,17,10,43,643,643,13.86,0.73,88.37
1702781040,12,17,10,44,644,644,13.86,0.73,88.37
1702781100,12,17,10,45,645,645,13.91,0.69,88.69
1702781160,12,17,10,46,646,646,13.91,0.69,88.69
1702781220,12,17,10,47,647,647,13.91,0.69,88.69
1702781280,12,17,10,48,648,648,13.91,0.69,88.69
1702781340,12,17,10,49,649,649,13.91,0.69,88.69
1702781400,12,17,10,50,650,650,13.91,0.69,88.69
1702781460,12,17,10,51,651,651,13.91,0.69,88.69
1702781520,12,17,10,52,652,652,13.91,0.69,88.69
1702781580,12,17,10,53,653,653,13.91,0.69,88.69
1702781640,12,17,10,54,654,654,13.91,0.69,88.69
1702781700,12,17,10,55,655,655,13.91,0.69,88.69
1702781760,12,17,10,56,656,656,13.91,0.69,88.69
1702781820,12,17,10,57,657,657,13.91,0.69,88.69
1702781880,12,17,10,58,658,658,13.91,0.69,88.69
1702781940,12,17,10,59,659,659,13.91,0.69,88.69
1702782000,12,17,11,0,660,660,13.91,0.69,88.69
1702782060,12,17,11,1,661,661,13.91,0.69,88.69
1702782120,12,17,11,2,662,662,13.91,0.69,88.69
1702782180,12,17,11,3,663,663,13.91,0.69,88.69
1702782240,12,17,11,4,664,664,13.91,0.69,88.69
1702782300,12,17,11,5,665,665,13.91,0.69,88.69
1702782360,12,17,11,6,666,666,13.91,0.69,88.69
1702782420,12,17,11,7,667,667,13.91,0.69,88.69
1702782480,12,17,11,8,668,668,13.91,0.69,88.69
1702782540,12,17,11,9,669,669,13.91,0.69,88.69
1702782600,12,17,11,10,670,670,13.91,0.69,88.69
1702782660,12,17,11,11,671,671,13.91,0.69,88.69
1702782720,12,17,11,12,672,672,13.91,0.69,88.69
1702782780,12,17,11,13,673,673,13.91,0.69,88.69
1702782840,12,17,11,14,674,674,13.91,0.69,88.69
1702782900,12,17,11,15,675,675,13.97,0.66,89.02
1702782960,12,17,11,16,676,676,13.97,0.66,89.02
1702783020,12,17,11,17,677,677,13.97,0.66,89.02
1702783080,12,17,11,18,678,678,13.97,0.66,89.02
1702783140,12,17,11,19,679,679,13.97,0.66,89.02
1702783200,12,17,11,20,680,680,13.97,0.66,89.02
1702783260,12,17,11,21,681,681,13.97,0.66,89.02
1702783320,12,17,11,22,682,682,13.97,0.66,89.02
1702783380,12,17,11,23,683,683,13.97,0.66,89.02
1702783440,12,17,11,24,684,684,13.97,0.66,89.02
1702783500,12,17,11,25,685,685,13.97,0.66,89.02
1702783560,12,17,11,26,686,686,13.97,0.66,89.02
1702783620,12,17,11,27,687,687,13.97,0.66,89.02
1702783680,12,17,11,28,688,688,13.97,0.66,89.02
1702783740,12,17,11,29,689,689,13.97,0.66,89.02
1702783800,12,17,11,30,690,690,13.97,0.66,89.02
1702783860,12,17,11,31,691,691,13.97,0.66,89.02
1702783920,12,17,11,32,692,692,13.97,0.66,89.02
1702783980,12,17,11,33,693,693,13.97,0.66,89.02
1702784040,12,17,11,34,694,694,13.97,0.66,89.02
1702784100,12,17,11,35,695,695,13.97,0.66,89.02
1702784160,12,17,11,36,696,696,13.97,0.66,89.02
1702784220,12,17,11,37,697,697,13.97,0.66,89.02
1702784280,12,17,11,38,698,698,13.97,0.66,89.02
1702784340,12,17,11,39,699,699,13.97,0.66,89.02
1702784400,12,17,11,40,700,700,13.97,0.66,89.02
1702784460,12,17,11,41,701,701,13.97,0.66,89.02
1702784520,12,17,11,42,702,702,13.97,0.66,89.02
1702784580,12,17,11,43,703,703,13.97,0.66,89.02
1702784640,12,17,11,44,704,704,13.97,0.66,89.02
1702784700,12,17,11,45,705,705,14.02,0.62,89.34
1702784760,12,17,11,46,706,706,14.02,0.62,89.34
1702784820,12,17,11,47,707,707,14.02,0.62,89.34
1702784880,12,17,11,48,708,708,14.02,0.62,89.34
1702784940,12,17,11,49,709,709,14.02,0.62,89.34
1702785000,12,17,11,50,710,710,14.02,0.62,89.34
1702785060,12,17,11,51,711,711,14.02,0.62,89.34
1702785120,12,17,11,52,712,712,14.02,0.62,89.34
1702785180,12,17,11,53,713,713,14.02,0.62,89.34
1702785240,12,17,11,54,714,714,14.02,0.62,89.34
1702785300,12,17,11,55,715,715,14.02,0.62,89.34
1702785360,12,17,11,56,716,716,14.02,0.62,89.34
1702785420,12,17,11,57,717,717,14.02,0.62,89.34
1702785480,12,17,11,58,718,718,14.02,0.62,89.34
1702785540,12,17,11,59,719,719,14.02,0.62,89.34
1702785600,12,17,12,0,720,720,14.02,0.62,89.34
1702785660,12,17,12,1,721,721,14.02,0.62,89.34
1702785720,12,17,12,2,722,722,14.02,0.62,89.34
1702785780,12,17,12,3,723,723,14.02,0.62,89.34
1702785840,12,17,12,4,724,724,14.02,0.62,89.34
1702785900,12,17,12,5,725,725,14.02,0.62,89.34
1702785960,12,17,12,6,726,726,14.02,0.62,89.34
1702786020,12,17,12,7,727,727,14.02,0.62,89.34
1702786080,12,17,12,8,728,728,14.02,0.62,89.34
1702786140,12,17,12,9,729,729,14.02,0.62,89.34
1702786200,12,17,12,10,730,730,14.02,0.62,89.34
1702786260,12,17,12,11,731,731,14.02,0.62,89.34
1702786320,12,17,12,12,732,732,14.02,0.62,89.34
1702786380,12,17,12,13,733,733,14.02,0.62,89.34
1702786440,12,17,12,14,734,734,14.02,0.62,89.34
1702786500,12,17,12,15,735,735,14.15,0.63,89.42
1702786560,12,17,12,16,736,736,14.15,0.63,89.42
1702786620,12,17,12,17,737,737,14.15,0.63,89.42
1702786680,12,17,12,18,738,738,14.15,0.63,89.42
1702786740,12,17,12,19,739,739,14.15,0.63,89.42
1702786800,12,17,12,20,740,740,14.15,0.63,89.42
1702786860,12,17,12,21,741,741,14.15,0.63,89.42
1702786920,12,17,12,22,742,742,14.15,0.63,89.42
1702786980,12,17,12,23,743,743,14.15,0.63,89.42
1702787040,12,17,12,24,744,744,14.15,0.63,89.42
1702787100,12,17,12,25,745,745,14.15,0.63,89.42
1702787160,12,17,12,26,746,746,14.15,0.63,89.42
1702787220,12,17,12,27,747,747,14.15,0.63,89.42
1702787280,12,17,12,28,748,748,14.15,0.63,89.42
1702787340,12,17,12,29,749,749,14.15,0.63,89.42
1702787400,12,17,12,30,750,750,14.15,0.63,89.42
1702787460,12,17,12,31,751,751,14.15,0.63,89.42
1702787520,12,17,12,32,752,752,14.15,0.63,89.42
1702787580,12,17,12,33,753,753,14.15,0.63,89.42
1702787640,12,17,12,34,754,754,14.15,0.63,89.42
1702787700,12,17,12,35,755,755,14.15,0.63,89.42
1702787760,12,17,12,36,756,756,14.15,0.63,89.42
1702787820,12,17,12,37,757,757,14.15,0.63,89.42
1702787880,12,17,12,38,758,758,14.15,0.63,89.42
1702787940,12,17,12,39,759,759,14.15,0.63,89.42
1702788000,12,17,12,40,760,760,14.15,0.63,89.42
1702788060,12,17,12,41,761,761,14.15,0.63,89.42
1702788120,12,17,12,42,762,762,14.15,0.63,89.42
1702788180,12,17,12,43,763,763,14.15,0.63,89.42
1702788240,12,17,12,44,764,764,14.15,0.63,89.42
1702788300,12,17,12,45,765,765,14.29,0.64,89.51
1702788360,12,17,12,46,766,766,14.29,0.64,89.51
1702788420,12,17,12,47,767,767,14.29,0.64,89.51
1702788480,12,17,12,48,768,768,14.29,0.64,89.51
1702788540,12,17,12,49,769,769,14.29,0.64,89.51
1702788600,12,17,12,50,770,770,14.29,0.64,89.51
1702788660,12,17,12,51,771,771,14.29,0.64,89.51
1702788720,12,17,12,52,772,772,14.29,0.64,89.51
1702788780,12,17,12,53,773,773,14.29,0.64,89.51
1702788840,12,17,12,54,774,774,14.29,0.64,89.51
1702788900,12,17,12,55,775,775,14.29,0.64,89.51
1702788960,12,17,12,56,776,776,14.29,0.64,89.51
1702789020,12,17,12,57,777,777,14.29,0.64,89.51
1702789080,12,17,12,58,778,778,14.29,0.64,89.51
1702789140,12,17,12,59,779,779,14.29,0.64,89.51
1702789200,12,17,13,0,780,780,14.29,0.64,89.51
1702789260,12,17,13,1,781,781,14.29,0.64,89.51
1702789320,12,17,13,2,782,782,14.29,0.64,89.51
1702789380,12,17,13,3,783,783,14.29,0.64,89.51
1702789440,12,17,13,4,784,784,14.29,0.64,89.51
1702789500,12,17,13,5,785,785,14.29,0.64,89.51
1702789560,12,17,13,6,786,786,14.29,0.64,89.51
1702789620,12,17,13,7,787,787,14.29,0.64,89.51
1702789680,12,17,13,8,788,788,14.29,0.64,89.51
1702789740,12,17,13,9,789,789,14.29,0.64,89.51
1702789800,12,17,13,10,790,790,14.29,0.64,89.51
1702789860,12,17,13,11,791,791,14.29,0.64,89.51
1702789920,12,17,13,12,792,792,14.29,0.64,89.51
1702789980,12,17,13,13,793,793,14.29,0.64,89.51
1702790040,12,17,13,14,794,794,14.29,0.64,89.51
1702790100,12,17,13,15,795,795,14.42,0.64,89.59
1702790160,12,17,13,16,796,796,14.42,0.64,89.59
1702790220,12,17,13,17,797,797,14.42,0.64,89.59
1702790280,12,17,13,18,798,798,14.42,0.64,89.59
1702790340,12,17,13,19,799,799,14.42,0.64,89.59
1702790400,12,17,13,20,800,800,14.42,0.64,89.59
1702790460,12,17,13,21,801,801,14.42,0.64,89.59
1702790520,12,17,13,22,802,802,14.42,0.64,89.59
1702790580,12,17,13,23,803,803,14.42,0.64,89.59
1702790640,12,17,13,24,804,804,14.42,0.64,89.59
1702790700,12,17,13,25,805,805,14.42,0.64,89.59
1702790760,12,17,13,26,806,806,14.42,0.64,89.59
1702790820,12,17,13,27,807,807,14.42,0.64,89.59
1702790880,12,17,13,28,808,808,14.42,0.64,89.59
1702790940,12,17,13,29,809,809,14.42,0.64,89.59
1702791000,12,17,13,30,810,810,14.42,0.64,89.59
1702791060,12,17,13,31,811,811,14.42,0.64,89.59
1702791120,12,17,13,32,812,812,14.42,0.64,89.59
1702791180,12,17,13,33,813,813,14.42,0.64,89.59
1702791240,12,17,13,34,814,814,14.42,0.64,89.59
1702791300,12,17,13,35,815,815,14.42,0.64,89.59
1702791360,12,17,13,36,816,816,14.42,0.64,89.59
1702791420,12,17,13,37,817,817,14.42,0.64,89.59
1702791480,12,17,13,38,818,818,14.42,0.64,89.59
1702791540,12,17,13,39,819,819,14.42,0.64,89.59
1702791600,12,17,13,40,820,820,14.42,0.64,89.59
1702791660,12,17,13,41,821,821,14.42,0.64,89.59
1702791720,12,17,13,42,822,822,14.42,0.64,89.59
1702791780,12,17,13,43,823,823,14.42,0.64,89.59
1702791840,12,17,13,44,824,824,14.42,0.64,89.59
1702791900,12,17,13,45,825,825,14.56,0.65,89.67
1702791960,12,17,13,46,826,826,14.56,0.65,89.67
1702792020,12,17,13,47,827,827,14.56,0.65,89.67
1702792080,12,17,13,48,828,828,14.56,0.65,89.67
1702792140,12,17,13,49,829,829,14.56,0.65,89.67
1702792200,12,17,13,50,830,830,14.56,0.65,89.67
1702792260,12,17,13,51,831,831,14.56,0.65,89.67
1702792320,12,17,13,52,832,832,14.56,0.65,89.67
1702792380,12,17,13,53,833,833,14.56,0.65,89.67
1702792440,12,17,13,54,834,834,14.56,0.65,89.67
1702792500,12,17,13,55,835,835,14.56,0.65,89.67
1702792560,12,17,13,56,836,836,14.56,0.65,89.67
1702792620,12,17,13,57,837,837,14.56,0.65,89.67
1702792680,12,17,13,58,838,838,14.56,0.65,89.67
1702792740,12,17,13,59,839,839,14.56,0.65,89.67
1702792800,12,17,14,0,840,840,14.56,0.65,89.67
1702792860,12,17,14,1,841,841,14.56,0.65,89.67
1702792920,12,17,14,2,842,842,14.56,0.65,89.67
1702792980,12,17,14,3,843,843,14.56,0.65,89.67
1702793040,12,17,14,4,844,844,14.56,0.65,89.67
1702793100,12,17,14,5,845,845,14.56,0.65,89.67
1702793160,12,17,14,6,846,846,14.56,0.65,89.67
1702793220,12,17,14,7,847,847,14.56,0.65,89.67
1702793280,12,17,14,8,848,848,14.56,0.65,89.67
1702793340,12,17,14,9,849,849,14.56,0.65,89.67
1702793400,12,17,14,10,850,850,14.56,0.65,89.67
1702793460,12,17,14,11,851,851,14.56,0.65,89.67
1702793520,12,17,14,12,852,852,14.56,0.65,89.67
1702793580,12,17,14,13,853,853,14.56,0.65,89.67
